"","Boloria.improba.","Boreellus.atriceps","Eupogonomyia.probilofensis.","Pogonomyiodes.segnis.","Protocalliphora.sp1.M_PL_024","Rhamphomyia.sp1.M_PL_024","Spilogona.aesturium.","Spilogona.almquistii.","Spilogona.dorsata","Spilogona.hurdiana.","Spilogona.latilamina","Spilogona.melanosoma","Spilogona.projecta.","Spilogona.sanctipauli"
"Arnica alpina",0,0,1,0,0,0,0,1,0,0,0,0,0,2
"Caltha palustris ",0,0,0,0,0,0,0,1,1,1,0,1,0,3
"Cerastium alpinum",0,0,0,0,0,0,0,0,0,0,0,0,2,3
"Dryas integrifolia",8,0,2,5,0,0,0,3,0,0,0,0,1,15
"Geum rossii ",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Papaver radicatum",0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Potentilla vahliana ",0,3,7,1,1,0,0,5,2,0,5,1,0,19
"Taraxacum sp1 M_PL_024",0,1,0,0,0,1,2,3,0,0,0,0,0,1
