"","Amalaraeus.penicilliger","Amphipsylla.dumalis","Amphipsylla.kuznetzovi","Amphipsylla.phaiomydis","Amphipsylla.primaris","Amphipsylla.schelkovnikovi","Callopsylla.caspia","Ceratophyllus.sciurorum","Ctenophthalmus.assimilis","Ctenophthalmus.dilatatus","Ctenophthalmus.dux","Ctenophthalmus.golovi","Frontopsylla.elata","Frontopsylla.protera","Leptopsylla.nana","Leptopsylla.taschenbergi","Neopsylla.mana","Neopsylla.pleskei","Ophthalmopsylla.praefecta","Pectinoctenus.nemorosa"
"Alticola argentatus",0,0,10,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0
"Apodemus uralensis",3,25,27,7,0,0,13,8,5,2,0,3,0,8,4,49,9,2,3,349
"Cricetulus migratorius",0,0,3,0,2,4,0,0,0,2,0,0,8,0,5,0,0,2,4,0
"Dryomys nitedula",10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Ellobius tancrei",0,36,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
"Microtus juldaschi",0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0
