"adjacency","laplacian","adjacency_weighted","laplacian_weighted"
6.04306812452261,22.1571174981969,6.04306812452261,22.1571174981969
3.44886300341126,16.3195300095235,3.44886300341126,16.3195300095235
2.82197660114526,12.3677904739701,2.82197660114526,12.3677904739701
2.57458836442,10.3995292153361,2.57458836442,10.3995292153361
2.27335671748216,8.69654246674008,2.27335671748216,8.69654246674008
2.06637464909145,7.05271533329931,2.06637464909145,7.05271533329931
1.89784699154058,6.31047071762608,1.89784699154058,6.31047071762608
1.68537633708918,5.80312342210597,1.68537633708918,5.80312342210597
1.47042027312991,5.3939100701447,1.47042027312991,5.3939100701447
1.19080922058597,5.03947421981801,1.19080922058597,5.03947421981801
1,4.7486182358592,1,4.7486182358592
0.866238188308863,4.34714659187158,0.866238188308863,4.34714659187158
0.678276189636826,4.0695017374071,0.678276189636826,4.0695017374071
0.568905368612353,3.41706426681528,0.568905368612353,3.41706426681528
0,3.31864998330379,0,3.31864998330379
0,3.18217879243068,0,3.18217879243068
0,3,0,3
0,3,0,3
0,3,0,3
0,2.80752374853867,0,2.80752374853867
0,2.61775583905425,0,2.61775583905425
0,2.27226883486624,0,2.27226883486624
0,2.09734907072483,0,2.09734907072483
0,2,0,2
0,1.90445561405012,0,1.90445561405012
0,1.83437253802049,0,1.83437253802049
0,1.5320747323523,0,1.5320747323523
0,1.48707931716775,0,1.48707931716775
0,1.20358664260017,0,1.20358664260017
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
-0.568905368612354,0.999999999999999,-0.568905368612354,0.999999999999999
-0.678276189636828,0.999999999999999,-0.678276189636828,0.999999999999999
-0.866238188308863,0.999999999999999,-0.866238188308863,0.999999999999999
-1,0.999999999999998,-1,0.999999999999998
-1.19080922058597,0.964586868569402,-1.19080922058597,0.964586868569402
-1.47042027312991,0.862897699132178,-1.47042027312991,0.862897699132178
-1.68537633708918,0.788065676433914,-1.68537633708918,0.788065676433914
-1.89784699154058,0.713872409897092,-1.89784699154058,0.713872409897092
-2.06637464909145,0.675755330095645,-2.06637464909145,0.675755330095645
-2.27335671748216,0.621282892471764,-2.27335671748216,0.621282892471764
-2.57458836442,0.520268094819239,-2.57458836442,0.520268094819239
-2.82197660114526,0.473441656757406,-2.82197660114526,0.473441656757406
-3.44886300341126,0,-3.44886300341126,0
-6.04306812452261,0,-6.04306812452261,0
