"adjacency","laplacian","adjacency_weighted","laplacian_weighted"
8.42584233673211,37.6397985104216,488.396543844549,1175.33034592765
3.67544026836718,35.3973198497516,11.1639075044212,241.149290894017
0.704499645278643,16.8002640175134,3.45967761868201,103.510726522948
0,2.00000000000007,1.85537501375733,79.3774137412152
0,2.00000000000005,0.759306052015371,51.5114308749147
0,2.00000000000003,0.331530077581915,44.645822899522
0,2.00000000000003,0.280000000294152,42.2915524395463
0,2.00000000000002,0.0805381394620459,33.88402738624
0,2.00000000000002,0,24.9875868469403
0,2.00000000000001,0,21.3535837085611
0,2.00000000000001,0,16.72732063017
0,2.00000000000001,0,14.2175061077711
0,2.00000000000001,0,13.3014714244489
0,2,0,10.0844515898417
0,2,0,9.00000000000007
0,2,0,8.25943065753382
0,2,0,7.25846629678163
0,2,0,6.18735004012423
0,2,0,3.96714366925037
0,2,0,2.99999999999999
0,2,0,2.78988682793216
0,2,0,2.00000000000021
0,2,0,2.00000000000018
0,1.99999999999999,0,2.00000000000005
0,1.99999999999999,0,2.00000000000002
0,1.99999999999999,0,2.00000000000001
0,1.99999999999999,0,2.00000000000001
0,1.99999999999999,0,2
0,1.99999999999999,0,2
0,1.99999999999998,0,2
0,1.99999999999998,0,2
0,1.99999999999997,0,2
0,1.99999999999997,0,1.99999999999999
0,1.99999999999997,0,1.99999999999998
0,1.99999999999995,0,1.99999999999996
0,1.99999999999994,0,1.99999999999996
0,1,0,1.99999999999984
0,1,0,1.9903372190058
0,1,0,1.18057772898816
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,-0.0805381394620064,1
0,1,-0.280000000294171,1
0,1,-0.331530077581946,1
0,0.999999999999999,-0.759306052015342,1
0,0.999999999999999,-1.85537501375744,1
-0.70449964527864,0.999999999999992,-3.45967761868208,0.999999999999999
-3.67544026836718,0.162617622313375,-11.1639075044212,0.994276566602171
-8.42584233673211,0,-488.396543844549,0
