"adjacency","laplacian","adjacency_weighted","laplacian_weighted"
8.10320706971958,35.1287467040446,388.755543165436,1003.33105372249
3.66195577587566,21.3190203043286,7.52659205003113,270.873722270007
2.65676012026268,16.0059395204514,4.21576380968603,149.058181727999
2.45104487625999,11.7199691331018,3.05516849184355,87.3869078008003
2.34920919187162,10.2206033053703,2.83607718664442,45.7064758372213
2.01035382255432,8.97844812640458,2.38139573664965,34.5494732745973
1.79295041497485,8.02089705266149,2.14334352089343,27.7452143650622
1.60775689445272,7.17568640471007,1.6148770649342,25.5326185024125
1.41186197143416,7.01072536998356,1.51759721119378,23.6204741568443
1.27916923187942,6.23274332433224,1.28562613839596,21.4124380701566
0.941303304168306,6.19631476242806,1.0341591624903,20.5900810664398
0.832637797930249,5.28122923011832,0.463129999045693,18.9715128020327
0.422759354897158,5.06604089768377,0.431934872102455,17.7227261624234
0.338480106010842,5,0.169541244570576,16.1064613132038
0,4.60089928374259,0,15.9684430583088
0,4.15376238807208,0,14.4284199967938
0,4,0,14.3532724478571
0,3.87641140674552,0,12.545768917363
0,3.76881979319901,0,10.9937420805187
0,3.58546673041943,0,10.4148776990219
0,3.33419841559473,0,9.51323281883365
0,3,0,8.94362290544518
0,3,0,8.43283701356759
0,2.86883023697409,0,7.94643171400501
0,2.66026434061391,0,7.81515920812316
0,2.56583287567792,0,6.84291411537664
0,2.50834465482428,0,6.40341653208241
0,2.34180986352897,0,6.12942699103357
0,2.06267046429293,0,5.74771618454445
0,2,0,5.09453176143306
0,1.82806154554611,0,4.83980652833177
0,1.79197926980554,0,4.0822592488813
0,1.7555524981889,0,3.86204775533432
0,1.69280939335948,0,3.25213672732495
0,1.57742693007785,0,3
0,1.21138537365511,0,3
-0.338480106010843,1.01017792560579,-0.169541244570579,3
-0.422759354897158,1.00000000000001,-0.431934872102414,2.98231606937659
-0.832637797930247,1,-0.463129999045777,2.14327948559729
-0.941303304168304,1,-1.03415916249028,1.99577595508078
-1.27916923187942,1,-1.28562613839599,1.99276043142936
-1.41186197143417,1,-1.51759721119384,1.9591654207082
-1.60775689445272,1,-1.61487706493423,1.82814189936669
-1.79295041497485,1,-2.14334352089342,1.09355340331509
-2.01035382255432,1,-2.38139573664973,1
-2.34920919187162,1,-2.8360771866444,1
-2.45104487625998,0.999999999999999,-3.05516849184359,0.999999999999994
-2.65676012026268,0.767674067408311,-4.21576380968597,0.99803299330441
-3.66195577587566,0.681258407048701,-7.52659205003116,0.789569565950256
-8.10320706971958,0,-388.755543165436,0
