"adjacency","laplacian","adjacency_weighted","laplacian_weighted"
8.42584233673211,37.6397985104216,-1,-1
3.67544026836718,35.3973198497516,-1,-1
0.704499645278643,16.8002640175134,-1,-1
0,2.00000000000007,-1,-1
0,2.00000000000005,-1,-1
0,2.00000000000003,-1,-1
0,2.00000000000003,-1,-1
0,2.00000000000002,-1,-1
0,2.00000000000002,-1,-1
0,2.00000000000001,-1,-1
0,2.00000000000001,-1,-1
0,2.00000000000001,-1,-1
0,2.00000000000001,-1,-1
0,2,-1,-1
0,2,-1,-1
0,2,-1,-1
0,2,-1,-1
0,2,-1,-1
0,2,-1,-1
0,2,-1,-1
0,2,-1,-1
0,2,-1,-1
0,2,-1,-1
0,1.99999999999999,-1,-1
0,1.99999999999999,-1,-1
0,1.99999999999999,-1,-1
0,1.99999999999999,-1,-1
0,1.99999999999999,-1,-1
0,1.99999999999999,-1,-1
0,1.99999999999998,-1,-1
0,1.99999999999998,-1,-1
0,1.99999999999997,-1,-1
0,1.99999999999997,-1,-1
0,1.99999999999997,-1,-1
0,1.99999999999995,-1,-1
0,1.99999999999994,-1,-1
0,1,-1,-1
0,1,-1,-1
0,1,-1,-1
0,1,-1,-1
0,1,-1,-1
0,1,-1,-1
0,1,-1,-1
0,1,-1,-1
0,1,-1,-1
0,1,-1,-1
0,1,-1,-1
0,0.999999999999999,-1,-1
0,0.999999999999999,-1,-1
-0.70449964527864,0.999999999999992,-1,-1
-3.67544026836718,0.162617622313375,-1,-1
-8.42584233673211,0,-1,-1
