"adjacency","laplacian","adjacency_weighted","laplacian_weighted"
5.32981107216828,16.3584667010286,5.32981107216828,16.3584667010286
3.49089161680084,14.1844879208162,3.49089161680084,14.1844879208162
3.11693155726278,13.0944832182928,3.11693155726278,13.0944832182928
2.63602275628402,9.22361140033756,2.63602275628402,9.22361140033756
2.36927995653903,8.67781335585063,2.36927995653903,8.67781335585063
2.14795732014054,7.48500626328441,2.14795732014054,7.48500626328441
1.98997724202716,6.28335775886637,1.98997724202716,6.28335775886637
1.72311237772396,5.87568701275787,1.72311237772396,5.87568701275787
1.62081616864291,5.72555905336851,1.62081616864291,5.72555905336851
1.42919268433645,5.23236542326467,1.42919268433645,5.23236542326467
1.21043687501645,4.46246991159493,1.21043687501645,4.46246991159493
1.15816549065418,4.39029535525295,1.15816549065418,4.39029535525295
1.02051425759418,3.94953663130969,1.02051425759418,3.94953663130969
0.912038577719569,3.90121911886788,0.912038577719569,3.90121911886788
0.842230778982561,3.73150543765182,0.842230778982561,3.73150543765182
0.726511928928635,3.64278686427997,0.726511928928635,3.64278686427997
0,3.44435228807479,0,3.44435228807479
0,2.93579846030397,0,2.93579846030397
0,2.85981453618956,0,2.85981453618956
0,2.77257569265044,0,2.77257569265044
0,2.66957375456072,0,2.66957375456072
0,2.65196281282213,0,2.65196281282213
0,2.55837393801866,0,2.55837393801866
0,2.485844715395,0,2.485844715395
0,2.21153296165886,0,2.21153296165886
0,2,0,2
0,2,0,2
0,1.96510043247434,0,1.96510043247434
0,1.8642208451568,0,1.8642208451568
0,1.79189966491986,0,1.79189966491986
0,1.74002542450476,0,1.74002542450476
0,1.64722146773316,0,1.64722146773316
0,1.37507180335588,0,1.37507180335588
0,1.33840757324686,0,1.33840757324686
0,1.17125264951652,0,1.17125264951652
0,1.075773834052,0,1.075773834052
-0.726511928928637,1,-0.726511928928637,1
-0.842230778982561,1,-0.842230778982561,1
-0.912038577719569,1,-0.912038577719569,1
-1.02051425759418,1,-1.02051425759418,1
-1.15816549065418,1,-1.15816549065418,1
-1.21043687501644,0.95179681225084,-1.21043687501644,0.95179681225084
-1.42919268433645,0.874103338670199,-1.42919268433645,0.874103338670199
-1.6208161686429,0.842337337411821,-1.6208161686429,0.842337337411821
-1.72311237772396,0.71572792020473,-1.72311237772396,0.71572792020473
-1.98997724202716,0.686474316857166,-1.98997724202716,0.686474316857166
-2.14795732014054,0.548612418886598,-2.14795732014054,0.548612418886598
-2.36927995653903,0.523790160676093,-2.36927995653903,0.523790160676093
-2.63602275628402,0.44955026328933,-2.63602275628402,0.44955026328933
-3.11693155726278,0.356894876387855,-3.11693155726278,0.356894876387855
-3.49089161680084,0.273258273906269,-3.49089161680084,0.273258273906269
-5.32981107216827,0,-5.32981107216827,0
