"adjacency","laplacian","adjacency_weighted","laplacian_weighted"
6.29826523143753,30.0881248776246,429.56867173527,1053.98956586804
3.89325640864409,17.1563707430002,51.2366272889515,288.801757799455
2.8863159879258,10.9416832556973,7.34900418438124,151.194886925303
2.4260461902084,9.32435427566967,3.56797407181391,90.9655497945584
2.12756068129604,8.10859660931543,3.25962634432908,36.1071806634785
1.69217781012636,6.6751084896626,2.91589288540958,33.0424015974978
1.62651116427154,6.6578402912407,2.23454394485905,27.8347404836149
1.41567519062113,5.54357369726192,1.9754816288351,22.8219666328899
1.16493579249233,5.0210885666413,1.13629705072621,21.8223364067347
1.06441750706459,4.66520744128776,1.0170032742514,19.5050149919254
0.857090602131135,4.21202862193427,0.629028269385146,16.7049470319879
0.69406886886166,3.5850892243501,0.280935565168161,16.0232857046691
0.460259253416259,3.50770902990246,0.0510748022591972,14.8317722065108
0,3.40867224651209,0,14.1439823238876
0,2.77951972130521,0,13.6056536498937
0,2.73761151371046,0,12.8269090350483
0,2.61528810027465,0,12.0273967364604
0,2.56237932639572,0,10.0194752209314
0,2.47286007538738,0,8.72669841253767
0,2.11575378070528,0,8.10170155362076
0,2,0,7.80336932526376
0,2,0,7.54944130031706
0,1.82192419040095,0,7.37860063696694
0,1.74103650359789,0,5.45447421122022
0,1.70850487570594,0,4.74405556401515
0,1.55575134980372,0,4.33979501806465
0,1.3983909194914,0,3.98919483017914
0,1.38479829241547,0,3.95618206924687
0,1.34416516608236,0,3.93202988813098
0,1.1462425581986,0,3.87286468367797
0,1.07904437781969,0,3.21121475913389
0,1,0,2.9698985030053
0,1,0,2.89875046040198
0,1,0,2.88428000997462
0,1,0,2.82899970698246
0,1,0,2.11187926407601
0,1,0,2
0,1,0,1.99363759024627
0,1,0,1.2379577291945
-0.46025925341626,1,-0.051074802259174,1
-0.69406886886166,1,-0.280935565168153,1
-0.857090602131134,1,-0.62902826938516,1
-1.06441750706459,1,-1.01700327425139,1
-1.16493579249233,0.999999999999999,-1.13629705072619,0.999999999999999
-1.41567519062113,0.999999999999999,-1.97548162883511,0.999999999999999
-1.62651116427154,0.999999999999998,-2.23454394485901,0.999999999999997
-1.69217781012636,0.999999999999998,-2.91589288540956,0.999999999999951
-2.12756068129604,0.766733950505715,-3.25962634432909,0.996678464574866
-2.4260461902084,0.724034090577891,-3.56797407181389,0.979196207983979
-2.8863159879258,0.61597739569616,-7.34900418438121,0.915061954913388
-3.89325640864409,0.534536441825077,-51.2366272889515,0.855214783388498
-6.29826523143753,0,-429.56867173527,0
