"adjacency","laplacian","adjacency_weighted","laplacian_weighted"
7.94902121486374,36.1224704059446,416.765380477705,1036.71336092671
4.05156824146113,24.1259214153194,10.3164346387579,277.931106773663
2.67544656111588,16.0957355634905,4.1508028035582,149.531399460966
2.48372599329644,12.8127232618609,2.80329667919427,89.9061850269881
2.27916429533482,9.0279976150942,2.11627861488532,41.1302390889047
2.06771345394955,7.94672056484091,1.90527752727909,37.0089417125515
1.46334905626169,7.80241460637975,1.63248348290333,30.3505362576645
1.42071782816462,6.57715724878063,1.51018261856819,24.6297174134743
1.03372659612952,5.96869139596188,1.09693714289151,20.6488148386925
0.965352861985331,4.70738369386715,0.999583438807787,20.3573760256576
0.774962274893327,4.60573579918586,0.854356818257077,17.0463555062869
0.707135208464963,4.45553525488236,0.762858720455049,15.919262555613
0.583082690979067,4.31171606530844,0.573742023529004,14.2686667487756
0,4.19767650075335,0.450895642290183,13.3035177807742
0,3.82175620493975,0,13.0725385275748
0,3.68295110919799,0,11.6494061719316
0,3.46821964806434,0,10.3829562789913
0,3.23807080757183,0,9.30177335823253
0,2.81274586312001,0,8.46398995430852
0,2.61836672616706,0,7.65347883475513
0,2.49323541616033,0,7.25162831113617
0,2.44257326288748,0,7.0023611676064
0,2.24110196416564,0,6.40466982577283
0,2.09033976748326,0,5.97361268362883
0,2.00000000000001,0,5.53118233697016
0,2.00000000000001,0,4.97530456056162
0,2,0,4.96377456635484
0,2,0,4.89335306190444
0,2,0,4.83690269367778
0,2,0,4.3873608708851
0,2,0,4
0,2,0,3.98669062288067
0,2,0,3.97875565603407
0,2,0,3.96422840655112
0,2,0,3.93776733865871
0,2,0,3.90843457670613
0,2,0,3.14939964382015
0,2,0,3
0,1.78116435720905,-0.45089564229017,2.99389152494066
-0.583082690979067,1.51782884241193,-0.573742023528958,2.78162840351974
-0.707135208464963,1.38278533423814,-0.762858720455064,2.20980932541403
-0.774962274893327,1.2969343413302,-0.854356818257092,2
-0.96535286198533,1,-0.999583438807801,2
-1.03372659612952,1,-1.09693714289147,2
-1.42071782816461,1,-1.51018261856819,2
-1.46334905626169,0.999999999999999,-1.63248348290336,1.99220847606862
-2.06771345394955,0.999999999999999,-1.90527752727911,1.98549716272958
-2.27916429533483,0.999999999999998,-2.11627861488531,1.70599075719488
-2.48372599329644,0.939149648969342,-2.80329667919425,1.03139928635906
-2.67544656111587,0.843621853724961,-4.15080280355833,0.995302912931028
-4.05156824146114,0.571275460688789,-10.3164346387578,0.889222585176779
-7.94902121486374,0,-416.765380477706,0
