"adjacency","laplacian","adjacency_weighted","laplacian_weighted"
4.83464627744592,11.3500456181357,4.83464627744592,11.3500456181357
3.45450672483356,10.3167448286041,3.45450672483356,10.3167448286041
3.00306746283005,9.63416955415359,3.00306746283005,9.63416955415359
2.75824513942172,9.15015468543992,2.75824513942172,9.15015468543992
2.4169051546452,8.7587193916891,2.4169051546452,8.7587193916891
2.3090889334867,8.21973172669083,2.3090889334867,8.21973172669083
2.15666483089864,7.83721026995534,2.15666483089864,7.83721026995534
1.88409694617814,7.18002952901258,1.88409694617814,7.18002952901258
1.76195743648113,6.23641428887411,1.76195743648113,6.23641428887411
1.70725441590853,5.9778707822877,1.70725441590853,5.9778707822877
1.53329753630133,5.45471578574697,1.53329753630133,5.45471578574697
1.29065561298674,5.19471421537847,1.29065561298674,5.19471421537847
1.10810538083256,5.05284880770868,1.10810538083256,5.05284880770868
1.0471685946003,4.63787887012133,1.0471685946003,4.63787887012133
0.57570565791245,4.29950128835437,0.57570565791245,4.29950128835437
0,4.10892392829533,0,4.10892392829533
0,3.79167977291393,0,3.79167977291393
0,3.7385942683527,0,3.7385942683527
0,3.37700275052548,0,3.37700275052548
0,3.26290162045575,0,3.26290162045575
0,2.95069467346317,0,2.95069467346317
0,2.91583057945889,0,2.91583057945889
0,2.84374355633674,0,2.84374355633674
0,2.78161639644355,0,2.78161639644355
0,2.47996829677251,0,2.47996829677251
0,2.44283890212802,0,2.44283890212802
0,2.26265497103391,0,2.26265497103391
0,2.15944321339902,0,2.15944321339902
0,1.97368886900173,0,1.97368886900173
0,1.84191512991066,0,1.84191512991066
0,1.78992994705144,0,1.78992994705144
0,1.61084255864605,0,1.61084255864605
0,1.45715464187187,0,1.45715464187187
0,1.38685836829231,0,1.38685836829231
0,1.14960637611049,0,1.14960637611049
-0.575705657912451,1.09200899521999,-0.575705657912451,1.09200899521999
-1.0471685946003,1,-1.0471685946003,1
-1.10810538083256,0.999999999999999,-1.10810538083256,0.999999999999999
-1.29065561298674,0.999999999999999,-1.29065561298674,0.999999999999999
-1.53329753630133,0.934782069058779,-1.53329753630133,0.934782069058779
-1.70725441590853,0.813099430205994,-1.70725441590853,0.813099430205994
-1.76195743648113,0.760696374707793,-1.76195743648113,0.760696374707793
-1.88409694617814,0.67618781875016,-1.88409694617814,0.67618781875016
-2.15666483089863,0.619877542911985,-2.15666483089863,0.619877542911985
-2.3090889334867,0.476709306528988,-2.3090889334867,0.476709306528988
-2.4169051546452,0,-2.4169051546452,0
-2.75824513942172,0,-2.75824513942172,0
-3.00306746283005,0,-3.00306746283005,0
-3.45450672483356,0,-3.45450672483356,0
-4.83464627744592,0,-4.83464627744592,0
