"adjacency","laplacian","adjacency_weighted","laplacian_weighted"
8.39953321271003,37.0350723718999,488.384704768772,1171.45473382195
3.5431086034217,35,11.5022100333033,239.201395386249
0.945633773159711,15.7998968167251,3.86903073816468,104.229919607022
0,3.58259659820469,1.80681981531094,79.7103008144299
0,2.00000000000004,0.734452032118883,52.3575782607672
0,2.00000000000004,0.524478808703388,47.2010057223076
0,2.00000000000002,0.150782539495639,43.6671004908149
0,2.00000000000001,0.0899021055607086,34.181122854694
0,2.00000000000001,0,25.1828740087838
0,2.00000000000001,0,20.105407671456
0,2.00000000000001,0,16.922948608941
0,2.00000000000001,0,15.1319402807064
0,2.00000000000001,0,14.2781652114885
0,2.00000000000001,0,13.2597373344911
0,2.00000000000001,0,9.55956468973332
0,2,0,8.32551648136861
0,2,0,7.26882000831917
0,2,0,6.18268620970033
0,2,0,3.58400558940079
0,2,0,2.0000000000001
0,2,0,2.00000000000004
0,2,0,2.00000000000002
0,2,0,2.00000000000002
0,2,0,2.00000000000001
0,2,0,2
0,2,0,2
0,1.99999999999999,0,2
0,1.99999999999999,0,2
0,1.99999999999999,0,2
0,1.99999999999999,0,1.99999999999999
0,1.99999999999998,0,1.99999999999999
0,1.99999999999998,0,1.99999999999998
0,1.99999999999998,0,1.99999999999994
0,1.99999999999997,0,1.99999999999992
0,1.99999999999997,0,1.99040955791217
0,1.99999999999996,0,1.21170623093772
0,1.37415260215859,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,-0.0899021055606797,1
0,1,-0.150782539495619,1
0,0.999999999999999,-0.524478808703458,1
0,0.999999999999999,-0.734452032118881,1
0,0.999999999999999,-1.80681981531098,1
-0.945633773159711,0.999999999999998,-3.86903073816456,0.999999999999998
-3.5431086034217,0.208281611011627,-11.5022100333033,0.99306115852602
-8.39953321271003,0,-488.384704768772,0
