"adjacency","laplacian","adjacency_weighted","laplacian_weighted"
6.80785037143249,20.5242795431939,27.5029730603308,70.8323156675236
3.32121844752859,18.2610765425449,5.98966020471323,42.8117858217967
2.94224888224468,16.1979532097187,5.31905110826108,36.7920888860078
2.38560096844555,15.5778660335234,3.85076963827777,33.3120416931386
2.20700325379744,9.41203255859729,1.64470517045436,27.2492399709032
1.73663007001915,8.44244689670599,1.20604046062808,17.6090181798167
1.19880731905931,6.55411313861892,1.04420744064015,12.8286655501289
0.930680146876357,5.27379402907167,0.911244988159898,9.80814259965693
0.886434120615293,5.23938037271835,0.811993628717901,8.19234235325001
0.823696593387018,4.29040485071307,0.771416241776143,6.36633045620106
0.699342224757961,4.19914952577702,0.468551170763873,5.80895646310125
0.362474711392315,3.93778035045262,0.18822807100879,5.36824607929617
0,3.74688225572338,0,3.98043167366133
0,3.32209908950287,0,3.93865836717203
0,2.93673544618883,0,3.65634599011804
0,2.78767148819458,0,3.35316161257434
0,2.59498509625915,0,3
0,2.23771808750272,0,2.84489376123525
0,2.01240470436334,0,2.74935003631047
0,2,0,2.56076904282471
0,2,0,2.25263600671902
0,1.94918860984041,0,2
0,1.91259971983673,0,1.99350651878697
0,1.83410356144785,0,1.95089246679378
0,1.5514005894399,0,1.87641486997621
0,1.22771015457381,0,1.63001897075126
0,1,0,1.26279054709872
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,0.999999999999999
0,1,0,0.999999999999999
0,1,0,0.999999999999999
0,1,0,0.999999999999999
0,1,0,0.999999999999999
0,1,0,0.999999999999999
0,0.999999999999999,0,0.999999999999999
-0.362474711392316,0.999999999999997,-0.188228071008788,0.999999999999998
-0.699342224757962,0.854758674388485,-0.468551170763885,0.980558422008763
-0.82369659338702,0.843823981033149,-0.771416241776143,0.951087675131426
-0.886434120615291,0.760611069844695,-0.811993628717906,0.924150071788029
-0.930680146876356,0.6961720478646,-0.911244988159898,0.888047849395753
-1.19880731905931,0.659517683757355,-1.04420744064015,0.847195450099816
-1.73663007001915,0.616262605360589,-1.20604046062809,0.789189698604366
-2.20700325379744,0.545078083241644,-1.64470517045436,0.590727248128849
-2.38560096844555,0,-3.85076963827777,0
-2.94224888224469,0,-5.31905110826108,0
-3.32121844752858,0,-5.98966020471323,0
-6.80785037143249,0,-27.5029730603307,0
