"adjacency","laplacian","adjacency_weighted","laplacian_weighted"
7.29393999597696,33.1072951771659,420.617767938297,1045.15735845718
3.75774314847698,18.4458215438896,11.6452303772909,282.836501344501
2.85094687644363,14.8281975909133,3.91314456048252,155.346011259056
2.30215259165999,11.8518137362897,3.0576414076711,87.9025555786047
2.20192278116215,8.41017100347016,2.48386713863434,44.245109057819
1.939942870381,8.00823581933611,2.23697242637342,35.8601511198058
1.73615923732089,7.40173574905364,2.18158200178661,28.4433109628134
1.28954934722838,6.51816050829125,1.45526995173906,23.6218439826414
1.27895134650283,6.02691368910223,1.1664167161992,21.3196725405146
1.14219087010065,5.31511757306527,1.07203578985939,18.8976057288366
0.897821046267223,4.80597323530447,0.924289962419381,17.7276678996869
0.748004048686774,4.63643878359085,0.724386157789028,14.9393037273197
0.572647179839014,4.41057429924536,0.583124041975789,14.6578827555758
0.528559347077904,3.85472242428117,0.343070018442849,14.5838622702378
0.218548466846026,3.48937266034974,0.150711173011323,13.5296015241543
0,3.40080022484351,0,13.0754911696856
0,3.32127080282968,0,12.4087638512557
0,2.86222724279332,0,10.7418624395279
0,2.82849671056315,0,9.19014972743526
0,2.6722266476382,0,7.98938729714345
0,2.48772592160675,0,7.88450575751623
0,2.38088309347655,0,7.75163829117528
0,2.33413308912027,0,7.04994004019096
0,2,0,5.64198879382723
0,2,0,5.27856245885685
0,2,0,4.55092894026317
0,2,0,4
0,1.95626282780378,0,3.96349118991608
0,1.86116436666314,0,3.81946558339576
0,1.71301484440969,0,3.50889775018558
0,1.57013067386558,0,3.1736590452124
0,1.39500264798915,0,3
0,1.29352234891035,0,2.99392595929999
0,1.06022735736244,0,2.96409863470953
0,1,0,2.93726656771385
0,1,0,2.0959790396696
0,1,0,2
-0.218548466846027,1,-0.150711173011357,1.8693639182279
-0.528559347077905,1,-0.343070018442915,1.23087443032695
-0.572647179839015,1,-0.58312404197581,1.00000000000001
-0.748004048686774,1,-0.72438615778904,1
-0.897821046267224,1,-0.924289962419376,1
-1.14219087010065,1,-1.07203578985947,1
-1.27895134650283,1,-1.16641671619924,1
-1.28954934722838,1,-1.45526995173907,1
-1.73615923732089,0.999999999999999,-2.18158200178653,0.999999999999997
-1.939942870381,0.863514689479304,-2.2369724263733,0.998204181719113
-2.20192278116215,0.810021004331443,-2.48386713863427,0.986446022947397
-2.30215259165998,0.785090284254944,-3.05764140767112,0.959426929795912
-2.85094687644363,0.682754227143732,-3.91314456048247,0.955746758340692
-3.75774314847698,0.610987201566322,-11.6452303772909,0.911497012916215
-7.29393999597697,0,-420.617767938297,0
