"network","model","NODF","wine","binmatnest.temperature","links","totalweight"
"M_PL_007_GC.csv","NETWORK",19.7397340754484,60.9725030989039,9.97123116054419,84,979
"M_PL_007_GC.csv","HNESTED",15,100,15.919775787545,84,84
"M_PL_007_GC.csv","NESTED",61.7142857142857,100,4.58942075054909,84,84
"M_PL_007_GC.csv","WNESTED",61.7142857142857,101.313738631027,15.919775787545,84,979
"M_PL_007_GC.csv","RND",10.8818027210884,20.9249896128758,24.7029853698341,84,84
"M_PL_007_GC.csv","MGEN",43.0627551020408,88.8254620601034,6.94564272696206,113,979
"M_PL_007_GC.csv","SHUFFLE",6.15714285714286,9.05078512474658,46.0861076150378,84,979
"M_PL_007_GC.csv","VAZ",36.442784992785,97.1315968773695,5.81636015460783,84,979
"M_PL_007_GC.csv","SYTR",47.4780112044818,75.9554021053331,4.56307710165106,84,167
"M_PL_007_GC.csv","SWAP",36.3697175840033,95.0791744271815,7.61721047425386,84,979
"M_PL_007_GC.csv","WRND",9.37222222222222,-17.1808022357599,29.983542226263,84,979
"M_PL_007_GC.csv","BVAZ",14.178453689168,28.1073319099946,25.5511525588921,84,84
"M_PL_007_GC.csv","BSHUFFLE",20.2235312306741,64.7109938228801,9.4967204933858,84,84
"M_PL_007_GC.csv","PATEFIELD",34.3381686007736,88.9488133396584,10.128480553969,98,979
"M_PL_007_GC.csv","RND",9.94914965986395,11.2364065320417,22.9652906689163,84,84
"M_PL_007_GC.csv","MGEN",44.9252354788069,92.0383926716409,7.58454119899596,113,979
"M_PL_007_GC.csv","SHUFFLE",7.15799319727891,-2.2057161982437,42.7205671850219,84,979
"M_PL_007_GC.csv","VAZ",33.6261904761905,93.8262948100742,6.2114987804444,84,979
"M_PL_007_GC.csv","SYTR",33.5688002473717,74.8120959399938,1.9566202333754,84,178
"M_PL_007_GC.csv","SWAP",33.8938775510204,82.1737920528557,6.87376681644798,84,979
"M_PL_007_GC.csv","WRND",5.49200680272109,-1.82808966360813,33.5975009315913,84,979
"M_PL_007_GC.csv","BVAZ",16.630612244898,37.9778672823294,17.9009669155549,84,84
"M_PL_007_GC.csv","BSHUFFLE",17.6595856524428,59.3902168104664,12.1819483906946,84,84
"M_PL_007_GC.csv","PATEFIELD",40.5258145363409,94.2062927311415,6.06812115139754,97,979
"M_PL_007_GC.csv","RND",7.00612244897959,-6.22192516115931,40.3644002221211,84,84
"M_PL_007_GC.csv","MGEN",36.9003092145949,82.7474923235965,13.2276936491573,110,979
"M_PL_007_GC.csv","SHUFFLE",10.1465986394558,-14.5220427274805,50.4139856885582,84,979
"M_PL_007_GC.csv","VAZ",42.4857142857143,94.4707517692415,7.45364242233158,84,979
"M_PL_007_GC.csv","SYTR",49.1887218045113,80.8775161105064,4.43116942580815,84,145
"M_PL_007_GC.csv","SWAP",38.9703463203463,93.9442783165064,5.65742636664879,84,979
"M_PL_007_GC.csv","WRND",7.72414965986394,-6.73581707902807,28.8894767595155,84,979
"M_PL_007_GC.csv","BVAZ",16.7619047619048,53.7875261017808,13.5045349255054,84,84
"M_PL_007_GC.csv","BSHUFFLE",18.3087507730365,58.3781700836014,11.9956846270804,84,84
"M_PL_007_GC.csv","PATEFIELD",43.3272108843537,92.4011932116152,7.06173208143531,99,979
"M_PL_007_GC.csv","RND",6.55022675736961,4.6447179092536,33.993402747196,84,84
"M_PL_007_GC.csv","MGEN",43.7057823129252,95.0482585951613,7.6748051299233,114,979
"M_PL_007_GC.csv","SHUFFLE",6.50952380952381,-1.44955057020847,48.6168620756852,84,979
"M_PL_007_GC.csv","VAZ",38.9414682539683,94.4016979387796,6.02689381970294,84,979
"M_PL_007_GC.csv","SYTR",38.0808673469388,82.2200766371449,2.68034704821472,84,158
"M_PL_007_GC.csv","SWAP",35.6250915750916,88.0004359575455,6.36114438899021,84,979
"M_PL_007_GC.csv","WRND",6.61802721088435,4.33156776629348,36.7949928692805,84,979
"M_PL_007_GC.csv","BVAZ",13.1785714285714,42.4006788916621,20.3539467460745,84,84
"M_PL_007_GC.csv","BSHUFFLE",19.9265306122449,63.5014640603859,9.45053152279152,84,84
"M_PL_007_GC.csv","PATEFIELD",38.831746031746,95.0269786987639,6.73433605548201,94,979
"M_PL_007_GC.csv","RND",6.95595238095238,-8.79814102712895,38.640629396626,84,84
"M_PL_007_GC.csv","MGEN",44.5105442176871,93.9368956259857,6.81592780726395,99,979
"M_PL_007_GC.csv","SHUFFLE",7.6702380952381,-4.55510777179707,44.5450622915754,84,979
"M_PL_007_GC.csv","VAZ",42.0828664799253,94.2308108902289,5.72454583096569,84,979
"M_PL_007_GC.csv","SYTR",48.0021498551574,79.1630153389219,1.97111387924106,84,184
"M_PL_007_GC.csv","SWAP",29.1951762523191,75.3704742753609,8.96307114323722,84,979
"M_PL_007_GC.csv","WRND",9.67755102040816,11.4717389143913,34.7661381585856,84,979
"M_PL_007_GC.csv","BVAZ",11.1666666666667,43.6215538801835,14.8801318741555,84,84
"M_PL_007_GC.csv","BSHUFFLE",20.2006184291899,56.6757200142269,12.7657836177999,84,84
"M_PL_007_GC.csv","PATEFIELD",45.106015037594,96.0563279715799,5.44774698825567,99,979
"M_PL_007_GC.csv","RND",8.28639455782313,-14.3529836058123,28.6201864942628,84,84
"M_PL_007_GC.csv","MGEN",42.3103174603175,93.1841000943547,6.68581410442347,105,979
"M_PL_007_GC.csv","SHUFFLE",7.9952380952381,8.17308205736719,46.2915718375557,84,979
"M_PL_007_GC.csv","VAZ",35.5811224489796,92.0304674583528,6.06819768432687,84,979
"M_PL_007_GC.csv","SYTR",50.3206349206349,72.494215195904,7.2749610205337,84,198
"M_PL_007_GC.csv","SWAP",32.3436944008373,79.1758614296771,8.83178776497203,84,979
"M_PL_007_GC.csv","WRND",5.75090702947846,5.15430081581212,35.1348283162569,84,979
"M_PL_007_GC.csv","BVAZ",9.92040816326531,23.5136685678638,25.435475313348,84,84
"M_PL_007_GC.csv","BSHUFFLE",19.6725108225108,58.562330180787,11.3776084876047,84,84
"M_PL_007_GC.csv","PATEFIELD",43.671052631579,97.0947934232337,5.74957947212996,98,979
"M_PL_007_GC.csv","RND",6.49438775510204,11.974645470083,30.7510278758185,84,84
"M_PL_007_GC.csv","MGEN",43.2741558441558,90.6175443316173,9.93090865871615,115,979
"M_PL_007_GC.csv","SHUFFLE",7.0921768707483,1.8456064296449,44.6398747024615,84,979
"M_PL_007_GC.csv","VAZ",37.0375457875458,92.2713973384128,6.30834183600144,84,979
"M_PL_007_GC.csv","SYTR",39.9066378066378,69.3094690601063,3.29858029935391,84,205
"M_PL_007_GC.csv","SWAP",37.0809523809524,90.068333933828,7.2698288571241,84,979
"M_PL_007_GC.csv","WRND",10.4612244897959,17.1116102371066,27.9193159538501,84,979
"M_PL_007_GC.csv","BVAZ",17.0119047619048,37.0089806016318,19.8281738673664,84,84
"M_PL_007_GC.csv","BSHUFFLE",21.106338899196,64.601162802111,9.44400205202552,84,84
"M_PL_007_GC.csv","PATEFIELD",40.5175170068027,91.2442837329481,8.31667651493277,98,979
"M_PL_007_GC.csv","RND",5.64455782312925,-2.71873769263022,33.4560218203929,84,84
"M_PL_007_GC.csv","MGEN",46.3978704525288,92.0199899513934,7.40373778819645,112,979
"M_PL_007_GC.csv","SHUFFLE",8.2890022675737,13.254194888564,42.541910555983,84,979
"M_PL_007_GC.csv","VAZ",34.6755952380952,87.5081465038329,6.94056279009,84,979
"M_PL_007_GC.csv","SYTR",50.5722222222222,76.6940318751508,8.48383055474508,84,184
"M_PL_007_GC.csv","SWAP",31.8432282003711,86.2311036036626,9.30774258861462,84,979
"M_PL_007_GC.csv","WRND",7.65680272108844,8.35212027195235,28.4585329511376,84,979
"M_PL_007_GC.csv","BVAZ",15.8745670995671,39.9949009069029,20.6093406893177,84,84
"M_PL_007_GC.csv","BSHUFFLE",20.4061224489796,53.6917928315916,10.7939901214376,84,84
"M_PL_007_GC.csv","PATEFIELD",42.1261904761905,93.6229907911307,7.57319971402244,109,979
"M_PL_007_GC.csv","RND",8.82840136054422,5.1013913382854,30.9710102630719,84,84
"M_PL_007_GC.csv","MGEN",49.0578231292517,91.6991766445934,12.333847038985,112,979
"M_PL_007_GC.csv","SHUFFLE",8.29115646258503,7.70394265726626,45.0824500349938,84,979
"M_PL_007_GC.csv","VAZ",37.3180272108844,85.9568887099408,8.63899970670618,84,979
"M_PL_007_GC.csv","SYTR",40.7505411255411,73.0792333282692,3.84647727740013,84,168
"M_PL_007_GC.csv","SWAP",31.2434523809524,87.5619219980424,7.28800546786661,84,979
"M_PL_007_GC.csv","WRND",8.40702947845805,10.1528056489787,33.6242293459798,84,979
"M_PL_007_GC.csv","BVAZ",13.8469387755102,23.8399704291077,23.8115576228329,84,84
"M_PL_007_GC.csv","BSHUFFLE",20.0415584415584,49.521203653542,11.2649197590868,84,84
"M_PL_007_GC.csv","PATEFIELD",43.5023809523809,94.1522707107928,5.64935127371286,93,979
"M_PL_007_GC.csv","RND",9.35357142857143,3.75913074781312,28.5983158353536,84,84
"M_PL_007_GC.csv","MGEN",41.0833333333333,97.9602798280825,5.84159280802865,107,979
"M_PL_007_GC.csv","SHUFFLE",7.7030612244898,2.33386221998718,35.4017901759043,84,979
"M_PL_007_GC.csv","VAZ",35.2880333951763,91.0565831393498,9.74778314873002,84,979
"M_PL_007_GC.csv","SYTR",40.1171201814059,78.2921381599907,1.45620937043045,84,200
"M_PL_007_GC.csv","SWAP",35.5898308041165,86.5673151542314,6.57829768863893,84,979
"M_PL_007_GC.csv","WRND",9.47142857142857,5.18860131671033,31.212061092571,84,979
"M_PL_007_GC.csv","BVAZ",17.7309523809524,49.901253021908,16.4868026177721,84,84
"M_PL_007_GC.csv","BSHUFFLE",18.4102659245516,53.3677285977536,12.0264085166012,84,84
"M_PL_007_GC.csv","PATEFIELD",43.6951345755694,92.788122028126,6.27170286208933,103,979
"M_PL_007_GC.csv","RND",6.69387755102041,4.25926636868309,31.1687461402971,84,84
"M_PL_007_GC.csv","MGEN",41.6547619047619,93.4924453723641,6.57101409132834,99,979
"M_PL_007_GC.csv","SHUFFLE",10.1676870748299,11.3937575633828,38.9150339062416,84,979
"M_PL_007_GC.csv","VAZ",43.7142857142857,93.6971582532476,5.86502296381967,84,979
"M_PL_007_GC.csv","SYTR",30.5940012368584,62.5400569552159,4.95773125371235,84,171
"M_PL_007_GC.csv","SWAP",34.1298534798535,91.9621565287514,6.92466199737843,84,979
"M_PL_007_GC.csv","WRND",5.54795918367347,3.94614861257244,37.3753659549162,84,979
"M_PL_007_GC.csv","BVAZ",13.5333333333333,34.180762812839,26.5254047528264,84,84
"M_PL_007_GC.csv","BSHUFFLE",21.3898577612863,50.926385289758,12.8675326667464,84,84
"M_PL_007_GC.csv","PATEFIELD",37.760791589363,89.0443095568069,9.73315747466044,105,979
"M_PL_007_GC.csv","RND",10.3850907029478,14.1383558745182,39.9250582235205,84,84
"M_PL_007_GC.csv","MGEN",44.5549783549784,95.4121447004314,6.21669107260716,110,979
"M_PL_007_GC.csv","SHUFFLE",9.2108843537415,10.648131309065,38.0823419995022,84,979
"M_PL_007_GC.csv","VAZ",36.3746031746032,91.8160740760274,6.10942113937148,84,979
"M_PL_007_GC.csv","SYTR",57.5535714285714,85.566030589095,2.68248851562564,84,208
"M_PL_007_GC.csv","SWAP",32.5349206349206,90.6949368135778,6.21850912656823,84,979
"M_PL_007_GC.csv","WRND",5.90034013605442,-4.49613459297622,42.3755706590505,84,979
"M_PL_007_GC.csv","BVAZ",16.2112244897959,34.1083991810205,21.5549054878093,84,84
"M_PL_007_GC.csv","BSHUFFLE",19.4898577612863,51.0723195992813,12.6103758736539,84,84
"M_PL_007_GC.csv","PATEFIELD",38.8796583850932,91.2450207653864,10.7040444659075,100,979
"M_PL_007_GC.csv","RND",6.12448979591837,-4.89937475828395,35.7998976376701,84,84
"M_PL_007_GC.csv","MGEN",41.1210526315789,96.4635043812116,6.15251833904194,93,979
"M_PL_007_GC.csv","SHUFFLE",7.89183673469388,-13.5441277880926,45.9750445021412,84,979
"M_PL_007_GC.csv","VAZ",38.421768707483,93.9398043804751,7.19566605792016,84,979
"M_PL_007_GC.csv","SYTR",38.6175300889587,64.3423073663576,3.86930576300956,84,159
"M_PL_007_GC.csv","SWAP",33.5137188208617,90.1995938098455,7.64079473503739,84,979
"M_PL_007_GC.csv","WRND",8.61054421768707,2.18865971888643,33.2488101710997,84,979
"M_PL_007_GC.csv","BVAZ",16.7826530612245,39.5832483266915,19.2665666013967,84,84
"M_PL_007_GC.csv","BSHUFFLE",18.4052257266543,45.4639173670442,11.8381063018395,84,84
"M_PL_007_GC.csv","PATEFIELD",37.5234075448361,89.0560751284428,6.8869340583093,107,979
"M_PL_007_GC.csv","RND",10.8380952380952,4.38460100891166,29.5932100333429,84,84
"M_PL_007_GC.csv","MGEN",35.643537414966,91.843477928022,7.56507077310694,109,979
"M_PL_007_GC.csv","SHUFFLE",8.23231292517007,4.4209167146653,46.9124197932828,84,979
"M_PL_007_GC.csv","VAZ",31.9106442577031,88.2641381995495,7.15562036882036,84,979
"M_PL_007_GC.csv","SYTR",50.6255102040816,73.0710988354394,5.64056912467462,84,160
"M_PL_007_GC.csv","SWAP",33.962925170068,90.3623401440143,6.86157865681443,84,979
"M_PL_007_GC.csv","WRND",9.77551020408163,8.26711505839813,31.1886103342586,84,979
