"values","ind","MODEL"
6.63707571638493,"spect_rad","NETWORK"
59.9917324492238,"adj_energy","NETWORK"
19.378832995467,"lpl_spect_rad","NETWORK"
159.813375207681,"lpl_energy","NETWORK"
0.654200686310625,"algebraic_connectivity","NETWORK"
9.51186539709253,"spect_rad","HNESTED"
40.0834083218001,"lpl_spect_rad","HNESTED"
190.822110499418,"lpl_energy","HNESTED"
30.1486947422159,"adj_energy","HNESTED"
0.304872225149204,"algebraic_connectivity","HNESTED"
8.62627964140846,"spect_rad","NESTED"
39.0876650595013,"lpl_spect_rad","NESTED"
194.562221458738,"lpl_energy","NESTED"
43.0826430339315,"adj_energy","NESTED"
0.568279697172669,"algebraic_connectivity","NESTED"
6.23272644730899,"spect_rad","RND"
6.09934546441767,"spect_rad","RND"
6.25931111471952,"spect_rad","RND"
6.17668709897727,"spect_rad","RND"
5.92345426753521,"spect_rad","RND"
5.93504943083535,"spect_rad","RND"
5.84485205753931,"spect_rad","RND"
6.26975088610396,"spect_rad","RND"
6.15184018917372,"spect_rad","RND"
5.90076465202799,"spect_rad","RND"
5.9087474520926,"spect_rad","RND"
6.08109986351587,"spect_rad","RND"
6.02549491493888,"spect_rad","RND"
6.23167503821863,"spect_rad","RND"
6.30960869877634,"spect_rad","RND"
6.04812578199463,"spect_rad","RND"
6.22972883871619,"spect_rad","RND"
5.98916014999082,"spect_rad","RND"
5.9350403814473,"spect_rad","RND"
6.03738197814394,"spect_rad","RND"
5.94563864072831,"spect_rad","RND"
6.1940252385672,"spect_rad","RND"
5.90160156470172,"spect_rad","RND"
6.07783877626001,"spect_rad","RND"
5.85989032593651,"spect_rad","RND"
6.01793665240004,"spect_rad","RND"
6.34215391641339,"spect_rad","RND"
6.18857806734413,"spect_rad","RND"
6.26838147374339,"spect_rad","RND"
5.97659117233051,"spect_rad","RND"
62.63926624512,"adj_energy","RND"
62.238485438641,"adj_energy","RND"
62.3090432108495,"adj_energy","RND"
62.6423903988885,"adj_energy","RND"
63.1928236209475,"adj_energy","RND"
62.8539318480843,"adj_energy","RND"
63.4311720142664,"adj_energy","RND"
62.42813485632,"adj_energy","RND"
62.0338259185342,"adj_energy","RND"
63.6133576342099,"adj_energy","RND"
63.3343331518188,"adj_energy","RND"
62.774629399539,"adj_energy","RND"
63.060365275361,"adj_energy","RND"
61.4830640067291,"adj_energy","RND"
62.8548394222779,"adj_energy","RND"
62.958884809122,"adj_energy","RND"
61.4702847233702,"adj_energy","RND"
62.798843823002,"adj_energy","RND"
62.774538856195,"adj_energy","RND"
62.6450619035397,"adj_energy","RND"
63.5983032838281,"adj_energy","RND"
62.2317199660453,"adj_energy","RND"
63.2410156910315,"adj_energy","RND"
62.8291946063926,"adj_energy","RND"
63.1982795050706,"adj_energy","RND"
62.617126865357,"adj_energy","RND"
61.4401987741891,"adj_energy","RND"
61.5503611601602,"adj_energy","RND"
61.8542537445877,"adj_energy","RND"
62.9045076587667,"adj_energy","RND"
15.5279109917283,"lpl_spect_rad","RND"
15.2319172595883,"lpl_spect_rad","RND"
17.5018917094083,"lpl_spect_rad","RND"
15.068996251771,"lpl_spect_rad","RND"
14.0945102451729,"lpl_spect_rad","RND"
14.9232671405034,"lpl_spect_rad","RND"
14.1676868197423,"lpl_spect_rad","RND"
15.2382582154392,"lpl_spect_rad","RND"
15.8013437892141,"lpl_spect_rad","RND"
16.3871773286743,"lpl_spect_rad","RND"
15.7887861789517,"lpl_spect_rad","RND"
14.9543791688348,"lpl_spect_rad","RND"
15.6220326194507,"lpl_spect_rad","RND"
15.3882505147797,"lpl_spect_rad","RND"
15.9529334137552,"lpl_spect_rad","RND"
