"MODEL","magnitude","networkvalue","modelmean","quantile","distance"
"RND","spect_rad",6.11771929873753,4.59998418421943,100,1.51773511451809
"RND","adj_energy",53.9947479967294,64.6504737612203,0,-10.6557257644909
"RND","lpl_spect_rad",22.1814769037915,11.2281498053134,100,10.9533270984781
"RND","lpl_energy",138.387546613692,115.814204806134,100,22.5733418075581
"RND","spect_rad_weighted",487.078583290957,4.59998418421943,100,482.478599106737
"RND","adj_weighted_energy",477342,168,100,477174
"RND","lpl_weighted_energy",1334886,971.466666666667,100,1333914.53333333
"MGEN","spect_rad",6.11771929873753,7.9158340458471,0,-1.79811474710957
"MGEN","adj_energy",53.9947479967294,58.4181252645618,3.33333333333333,-4.42337726783239
"MGEN","lpl_spect_rad",22.1814769037915,34.537411523268,0,-12.3559346194765
"MGEN","lpl_energy",138.387546613692,158.475978832032,0,-20.0884322183398
"MGEN","spect_rad_weighted",487.078583290957,401.514483960656,100,85.5640993303012
"MGEN","adj_weighted_energy",477342,323024.933333333,100,154317.066666667
"MGEN","lpl_weighted_energy",1334886,1147261.33333333,100,187624.666666665
"SHUFFLE","spect_rad",6.11771929873753,4.38556191202054,100,1.73215738671699
"SHUFFLE","adj_energy",53.9947479967294,65.6552028954133,0,-11.6604548986839
"SHUFFLE","lpl_spect_rad",22.1814769037915,11.1743861789585,100,11.007090724833
"SHUFFLE","lpl_energy",138.387546613692,110.752368041332,100,27.6351785723597
"SHUFFLE","spect_rad_weighted",487.078583290957,471.279646098196,100,15.7989371927606
"SHUFFLE","adj_weighted_energy",477342,477342,53.3333333333333,5.82076609134674e-11
"SHUFFLE","lpl_weighted_energy",1334886,1017163.66666667,100,317722.333333332
"VAZ","spect_rad",6.11771929873753,6.86011852936751,0,-0.742399230629978
"VAZ","adj_energy",53.9947479967294,49.2117450073048,100,4.7830029894246
"VAZ","lpl_spect_rad",22.1814769037915,33.3122354962359,0,-11.1307585924444
"VAZ","lpl_energy",138.387546613692,145.829477073252,0,-7.4419304595599
"VAZ","spect_rad_weighted",487.078583290957,410.719993959533,100,76.3585893314234
"VAZ","adj_weighted_energy",477342,338012.533333333,100,139329.466666667
"VAZ","lpl_weighted_energy",1334886,1198720.4,100,136165.599999998
"SYTR","spect_rad",6.11771929873753,7.01015898130602,0,-0.892439682568495
"SYTR","adj_energy",53.9947479967294,49.4123055789584,90,4.58244241777101
"SYTR","lpl_spect_rad",22.1814769037915,22.2647416459351,50,-0.0832647421435695
"SYTR","lpl_energy",138.387546613692,156.722536303672,0,-18.33498968998
"SYTR","spect_rad_weighted",487.078583290957,28.2256028708289,100,458.852980420128
"SYTR","adj_weighted_energy",477342,1984.06666666667,100,475357.933333333
"SYTR","lpl_weighted_energy",1334886,14332.2,100,1320553.8
"SWAP","spect_rad",6.11771929873753,6.56549669528884,0,-0.447777396551313
"SWAP","adj_energy",53.9947479967294,51.164081556471,86.6666666666667,2.83066644025843
"SWAP","lpl_spect_rad",22.1814769037915,30.6927413625273,0,-8.5112644587357
"SWAP","lpl_energy",138.387546613692,146.645096497068,0,-8.25754988337587
"SWAP","spect_rad_weighted",487.078583290957,424.326263463204,100,62.7523198277528
"SWAP","adj_weighted_energy",477342,361366.4,100,115975.6
"SWAP","lpl_weighted_energy",1334886,1218910.4,100,115975.599999999
"WRND","spect_rad",6.11771929873753,4.56698224976063,100,1.55073704897689
"WRND","adj_energy",53.9947479967294,64.9489451517683,0,-10.9541971550389
"WRND","lpl_spect_rad",22.1814769037915,11.2195614037442,100,10.9619155000474
"WRND","lpl_energy",138.387546613692,114.911090083424,100,23.4764565302682
"WRND","spect_rad_weighted",487.078583290957,54.6345691127976,100,432.444014178159
"WRND","adj_weighted_energy",477342,24655.0666666667,100,452686.933333333
"WRND","lpl_weighted_energy",1334886,134297.066666667,100,1200588.93333333
"BVAZ","spect_rad",6.11771929873753,5.53032459784437,100,0.587394700893158
"BVAZ","adj_energy",53.9947479967294,60.3949253608191,0,-6.40017736408974
"BVAZ","lpl_spect_rad",22.1814769037915,18.5417753846594,100,3.63970151913214
"BVAZ","lpl_energy",138.387546613692,126.724934384511,100,11.6626122291807
"BVAZ","spect_rad_weighted",487.078583290957,5.53032459784437,100,481.548258693112
"BVAZ","adj_weighted_energy",477342,168,100,477174
"BVAZ","lpl_weighted_energy",1334886,1235.33333333333,100,1333650.66666667
"BSHUFFLE","spect_rad",6.11771929873753,6.14402154331994,43.3333333333333,-0.0263022445824097
"BSHUFFLE","adj_energy",53.9947479967294,56.4504620362343,0,-2.45571403950491
"BSHUFFLE","lpl_spect_rad",22.1814769037915,22.1919784318957,26.6666666666667,-0.0105015281041574
"BSHUFFLE","lpl_energy",138.387546613692,137.95024633666,76.6666666666667,0.437300277031994
"BSHUFFLE","spect_rad_weighted",487.078583290957,6.14402154331994,100,480.934561747637
"BSHUFFLE","adj_weighted_energy",477342,168,100,477174
"BSHUFFLE","lpl_weighted_energy",1334886,1444,100,1333442
"PATEFIELD","spect_rad",6.11771929873753,7.59548221050126,0,-1.47776291176373
"PATEFIELD","adj_energy",53.9947479967294,55.0740366598407,40,-1.07928866311127
"PATEFIELD","lpl_spect_rad",22.1814769037915,33.2610022625627,0,-11.0795253587711
"PATEFIELD","lpl_energy",138.387546613692,156.524201583843,0,-18.1366549701511
"PATEFIELD","spect_rad_weighted",487.078583290957,420.461028239516,100,66.6175550514405
"PATEFIELD","adj_weighted_energy",477342,353930.266666667,100,123411.733333333
"PATEFIELD","lpl_weighted_energy",1334886,1211474.26666667,100,123411.733333332
