"values","ind","MODEL"
6.11771929873753,"spect_rad","NETWORK"
53.9947479967294,"adj_energy","NETWORK"
22.1814769037915,"lpl_spect_rad","NETWORK"
138.387546613692,"lpl_energy","NETWORK"
0.373215324256851,"algebraic_connectivity","NETWORK"
487.078583290957,"spect_rad_weighted","NETWORK"
1116.45550803818,"lpl_spect_rad_weighted","NETWORK"
477342,"adj_weighted_energy","NETWORK"
1334886,"lpl_weighted_energy","NETWORK"
8.39953321271003,"spect_rad","HNESTED"
37.0350723718999,"lpl_spect_rad","HNESTED"
155.95513157366,"lpl_energy","HNESTED"
25.776551178583,"adj_energy","HNESTED"
0.208281611011627,"algebraic_connectivity","HNESTED"
7.33384229951616,"spect_rad","NESTED"
36.066441549118,"lpl_spect_rad","NESTED"
164.836168052389,"lpl_energy","NESTED"
38.7258092925872,"adj_energy","NESTED"
0.387475179250817,"algebraic_connectivity","NESTED"
488.384704768772,"spect_rad_weighted","WNESTED"
1171.45473382195,"lpl_spect_rad_weighted","WNESTED"
1457062,"lpl_weighted_energy","WNESTED"
477342,"adj_weighted_energy","WNESTED"
4.83464627744592,"spect_rad","RND"
4.9952886769681,"spect_rad","RND"
4.34476076235643,"spect_rad","RND"
4.74696441511015,"spect_rad","RND"
4.71677758110288,"spect_rad","RND"
4.85776488081568,"spect_rad","RND"
4.5060118782835,"spect_rad","RND"
4.50383471351257,"spect_rad","RND"
4.45355789186146,"spect_rad","RND"
4.45206762201313,"spect_rad","RND"
4.16348094137576,"spect_rad","RND"
4.39728668347502,"spect_rad","RND"
4.35760525928659,"spect_rad","RND"
4.84347558717432,"spect_rad","RND"
4.49646196249629,"spect_rad","RND"
4.70533210323401,"spect_rad","RND"
4.44718843986619,"spect_rad","RND"
4.82079079201151,"spect_rad","RND"
4.88851463934876,"spect_rad","RND"
4.53846104144097,"spect_rad","RND"
4.61935424002111,"spect_rad","RND"
4.36093759721978,"spect_rad","RND"
4.85686954076421,"spect_rad","RND"
4.4837096670354,"spect_rad","RND"
4.64410487940482,"spect_rad","RND"
4.6882631645416,"spect_rad","RND"
4.43418724614693,"spect_rad","RND"
4.5942255011725,"spect_rad","RND"
4.42858836814853,"spect_rad","RND"
4.81901317294891,"spect_rad","RND"
63.6827322095259,"adj_energy","RND"
63.3719197793755,"adj_energy","RND"
65.3325129774721,"adj_energy","RND"
64.3743066068558,"adj_energy","RND"
65.3370656396502,"adj_energy","RND"
63.3708326477432,"adj_energy","RND"
65.0362571589379,"adj_energy","RND"
64.9209677234967,"adj_energy","RND"
64.6397984772756,"adj_energy","RND"
64.3354598614823,"adj_energy","RND"
65.5344104452502,"adj_energy","RND"
65.5526511700902,"adj_energy","RND"
65.5076144077454,"adj_energy","RND"
64.0226324529992,"adj_energy","RND"
65.7342037543602,"adj_energy","RND"
64.4743781849186,"adj_energy","RND"
65.610279485046,"adj_energy","RND"
64.2283739264598,"adj_energy","RND"
64.1583694557844,"adj_energy","RND"
65.1000059555802,"adj_energy","RND"
64.8590950868412,"adj_energy","RND"
65.0773094273192,"adj_energy","RND"
64.2662666375077,"adj_energy","RND"
65.1064880523507,"adj_energy","RND"
64.6285453416544,"adj_energy","RND"
63.588185544815,"adj_energy","RND"
65.324426359761,"adj_energy","RND"
64.4277770494807,"adj_energy","RND"
64.5306001066679,"adj_energy","RND"
63.3807469101611,"adj_energy","RND"
11.3500456181357,"lpl_spect_rad","RND"
11.8909936216148,"lpl_spect_rad","RND"
9.77570726451401,"lpl_spect_rad","RND"
12.4398559205052,"lpl_spect_rad","RND"
11.8459499835258,"lpl_spect_rad","RND"
11.7837335964526,"lpl_spect_rad","RND"
10.7188731436814,"lpl_spect_rad","RND"
10.4105200808425,"lpl_spect_rad","RND"
10.7463831539708,"lpl_spect_rad","RND"
11.3120042388244,"lpl_spect_rad","RND"
9.61594796884514,"lpl_spect_rad","RND"
11.3306475508799,"lpl_spect_rad","RND"
10.5456719985141,"lpl_spect_rad","RND"
11.3915247027927,"lpl_spect_rad","RND"
10.7395724479078,"lpl_spect_rad","RND"
11.6472690076506,"lpl_spect_rad","RND"
10.5399850089748,"lpl_spect_rad","RND"
13.3028090093239,"lpl_spect_rad","RND"
12.0590986137849,"lpl_spect_rad","RND"
10.7355124266517,"lpl_spect_rad","RND"
13.3417550371318,"lpl_spect_rad","RND"
10.5316816483944,"lpl_spect_rad","RND"
11.8332664439637,"lpl_spect_rad","RND"
10.8614193196091,"lpl_spect_rad","RND"
11.6753958898364,"lpl_spect_rad","RND"
11.686795342211,"lpl_spect_rad","RND"
10.143367979371,"lpl_spect_rad","RND"
10.8539307901473,"lpl_spect_rad","RND"
10.160072458802,"lpl_spect_rad","RND"
11.5747038925427,"lpl_spect_rad","RND"
120.95390072448,"lpl_energy","RND"
122.812234329861,"lpl_energy","RND"
110.763217707789,"lpl_energy","RND"
117.394870466547,"lpl_energy","RND"
113.462897511941,"lpl_energy","RND"
119.377669896106,"lpl_energy","RND"
116.751657591048,"lpl_energy","RND"
113.038385624078,"lpl_energy","RND"
115.249436497013,"lpl_energy","RND"
113.933566660156,"lpl_energy","RND"
110.546802556803,"lpl_energy","RND"
112.492458595449,"lpl_energy","RND"
110.984356998944,"lpl_energy","RND"
121.489196646718,"lpl_energy","RND"
112.030239679301,"lpl_energy","RND"
117.97784406477,"lpl_energy","RND"
113.720075274282,"lpl_energy","RND"
117.488692878062,"lpl_energy","RND"
118.871326230808,"lpl_energy","RND"
115.03000834357,"lpl_energy","RND"
113.955493982047,"lpl_energy","RND"
113.027398368443,"lpl_energy","RND"
119.979016601707,"lpl_energy","RND"
114.595124189618,"lpl_energy","RND"
115.68674906732,"lpl_energy","RND"
118.479505532332,"lpl_energy","RND"
113.689635830688,"lpl_energy","RND"
115.241309684711,"lpl_energy","RND"
115.191433031775,"lpl_energy","RND"
120.211639617656,"lpl_energy","RND"
-1.14611110054747e-15,"algebraic_connectivity","RND"
-8.85068946368629e-18,"algebraic_connectivity","RND"
2.14584955165152e-15,"algebraic_connectivity","RND"
3.50352593667437e-16,"algebraic_connectivity","RND"
1.77422185003709e-16,"algebraic_connectivity","RND"
-3.08140294312558e-16,"algebraic_connectivity","RND"
1.27967300632231e-16,"algebraic_connectivity","RND"
8.29053932201044e-17,"algebraic_connectivity","RND"
-6.92950566198405e-20,"algebraic_connectivity","RND"
-2.34259450258149e-16,"algebraic_connectivity","RND"
-4.8095528141059e-17,"algebraic_connectivity","RND"
0.321804171415894,"algebraic_connectivity","RND"
1.82520166314432e-16,"algebraic_connectivity","RND"
3.37855122068112e-16,"algebraic_connectivity","RND"
5.42528212337348e-16,"algebraic_connectivity","RND"
-6.00749256013375e-16,"algebraic_connectivity","RND"
-1.69933492028528e-16,"algebraic_connectivity","RND"
-3.47892862097609e-16,"algebraic_connectivity","RND"
5.76786852730658e-17,"algebraic_connectivity","RND"
2.86402833970373e-15,"algebraic_connectivity","RND"
-5.94267858173202e-16,"algebraic_connectivity","RND"
-2.22365130583311e-16,"algebraic_connectivity","RND"
-7.54160783353609e-17,"algebraic_connectivity","RND"
0.433318762986678,"algebraic_connectivity","RND"
-3.85215242367349e-16,"algebraic_connectivity","RND"
