"values","ind","MODEL"
6.11771929873753,"spect_rad","NETWORK"
55.9947479967294,"adj_energy","NETWORK"
22.1814769037916,"lpl_spect_rad","NETWORK"
140.929085075231,"lpl_energy","NETWORK"
2.40310906965696e-15,"algebraic_connectivity","NETWORK"
487.078583290957,"spect_rad_weighted","NETWORK"
1116.45550803818,"lpl_spect_rad_weighted","NETWORK"
477344,"adj_weighted_energy","NETWORK"
1334890,"lpl_weighted_energy","NETWORK"
8.42584233673211,"spect_rad","HNESTED"
37.6397985104216,"lpl_spect_rad","HNESTED"
160.059380139989,"lpl_energy","HNESTED"
25.611564500756,"adj_energy","HNESTED"
0.162617622313375,"algebraic_connectivity","HNESTED"
7.31645023724354,"spect_rad","NESTED"
37.0623896781243,"lpl_spect_rad","NESTED"
168.822387758825,"lpl_energy","NESTED"
39.0205100267434,"adj_energy","NESTED"
0.364465514358691,"algebraic_connectivity","NESTED"
488.396543844549,"spect_rad_weighted","WNESTED"
1175.33034592765,"lpl_spect_rad_weighted","WNESTED"
1466348,"lpl_weighted_energy","WNESTED"
477344,"adj_weighted_energy","WNESTED"
4.66495073048882,"spect_rad","RND"
4.35511649408596,"spect_rad","RND"
4.77819006166938,"spect_rad","RND"
4.43608998213471,"spect_rad","RND"
4.32332628414456,"spect_rad","RND"
4.90753325359873,"spect_rad","RND"
4.4764079583594,"spect_rad","RND"
4.85808051938522,"spect_rad","RND"
4.50493063654699,"spect_rad","RND"
4.46307007788176,"spect_rad","RND"
4.4946624597043,"spect_rad","RND"
4.59383372682232,"spect_rad","RND"
4.33702557653775,"spect_rad","RND"
4.36330801251468,"spect_rad","RND"
4.36529206447353,"spect_rad","RND"
4.60886045598493,"spect_rad","RND"
4.14436186201159,"spect_rad","RND"
4.43132500694285,"spect_rad","RND"
4.49546668747246,"spect_rad","RND"
4.72336680782166,"spect_rad","RND"
4.52010567618698,"spect_rad","RND"
4.45967999556677,"spect_rad","RND"
4.55149679465916,"spect_rad","RND"
4.59554369009104,"spect_rad","RND"
4.36888715052195,"spect_rad","RND"
4.62951732300654,"spect_rad","RND"
4.37492614079893,"spect_rad","RND"
4.44533301510266,"spect_rad","RND"
4.88433649036803,"spect_rad","RND"
4.39967615597649,"spect_rad","RND"
66.4843030205058,"adj_energy","RND"
67.6599384380918,"adj_energy","RND"
64.8704916075776,"adj_energy","RND"
68.5148520239189,"adj_energy","RND"
67.8373753229767,"adj_energy","RND"
64.969256679657,"adj_energy","RND"
67.5589439440104,"adj_energy","RND"
65.9958839183783,"adj_energy","RND"
67.5878278895942,"adj_energy","RND"
67.2399875194433,"adj_energy","RND"
66.9366221289944,"adj_energy","RND"
67.0150287823488,"adj_energy","RND"
67.1619344604124,"adj_energy","RND"
67.7498483724131,"adj_energy","RND"
68.2309496420048,"adj_energy","RND"
66.8992095455558,"adj_energy","RND"
68.1252919106833,"adj_energy","RND"
68.06359691656,"adj_energy","RND"
67.3728202594637,"adj_energy","RND"
66.874120666812,"adj_energy","RND"
65.9337741815465,"adj_energy","RND"
67.2943266918896,"adj_energy","RND"
65.8543996102195,"adj_energy","RND"
66.6371406472184,"adj_energy","RND"
68.0439744087107,"adj_energy","RND"
67.9512298257048,"adj_energy","RND"
66.6424271385297,"adj_energy","RND"
67.0140049224528,"adj_energy","RND"
66.8723101958857,"adj_energy","RND"
67.3645235146313,"adj_energy","RND"
11.1011341051612,"lpl_spect_rad","RND"
11.461093427505,"lpl_spect_rad","RND"
11.8399959585085,"lpl_spect_rad","RND"
10.459603232879,"lpl_spect_rad","RND"
11.3657435054111,"lpl_spect_rad","RND"
11.7903986738528,"lpl_spect_rad","RND"
10.4396638498178,"lpl_spect_rad","RND"
13.4602391563527,"lpl_spect_rad","RND"
9.817087841853,"lpl_spect_rad","RND"
10.6120456775573,"lpl_spect_rad","RND"
10.776730499072,"lpl_spect_rad","RND"
11.0445942814031,"lpl_spect_rad","RND"
12.1941404408933,"lpl_spect_rad","RND"
10.0170522760408,"lpl_spect_rad","RND"
10.6043934016626,"lpl_spect_rad","RND"
10.3870830480679,"lpl_spect_rad","RND"
10.3327037743097,"lpl_spect_rad","RND"
10.6784958763586,"lpl_spect_rad","RND"
10.2987095586133,"lpl_spect_rad","RND"
11.2850266193737,"lpl_spect_rad","RND"
10.7230832159117,"lpl_spect_rad","RND"
10.2851837363995,"lpl_spect_rad","RND"
11.750663438126,"lpl_spect_rad","RND"
10.5363568452194,"lpl_spect_rad","RND"
10.5603287172703,"lpl_spect_rad","RND"
12.404761296721,"lpl_spect_rad","RND"
13.1954800172306,"lpl_spect_rad","RND"
10.4364241628105,"lpl_spect_rad","RND"
11.8943005947623,"lpl_spect_rad","RND"
10.1615739619143,"lpl_spect_rad","RND"
120.751299773633,"lpl_energy","RND"
115.192228415893,"lpl_energy","RND"
121.026716705781,"lpl_energy","RND"
112.656670171319,"lpl_energy","RND"
113.742473871776,"lpl_energy","RND"
129.356817909146,"lpl_energy","RND"
117.315406353773,"lpl_energy","RND"
119.947074587314,"lpl_energy","RND"
117.239641919817,"lpl_energy","RND"
116.77038320154,"lpl_energy","RND"
117.480112346947,"lpl_energy","RND"
117.978651145309,"lpl_energy","RND"
113.206419593681,"lpl_energy","RND"
116.350040953859,"lpl_energy","RND"
115.597879108434,"lpl_energy","RND"
119.876831226791,"lpl_energy","RND"
111.591468729551,"lpl_energy","RND"
114.694241535186,"lpl_energy","RND"
118.447680503324,"lpl_energy","RND"
124.497559548083,"lpl_energy","RND"
122.571166128889,"lpl_energy","RND"
119.643324102836,"lpl_energy","RND"
117.660852313874,"lpl_energy","RND"
118.955342897825,"lpl_energy","RND"
116.114584804992,"lpl_energy","RND"
117.979245439046,"lpl_energy","RND"
111.612649562711,"lpl_energy","RND"
118.427235408188,"lpl_energy","RND"
123.160878239599,"lpl_energy","RND"
116.69262163745,"lpl_energy","RND"
5.63823178339033e-17,"algebraic_connectivity","RND"
0.346830414116832,"algebraic_connectivity","RND"
0,"algebraic_connectivity","RND"
8.37077499100521e-16,"algebraic_connectivity","RND"
2.57489783368719e-15,"algebraic_connectivity","RND"
0,"algebraic_connectivity","RND"
2.06889957067197e-15,"algebraic_connectivity","RND"
4.08976136647993e-15,"algebraic_connectivity","RND"
-2.85183435007305e-16,"algebraic_connectivity","RND"
-6.3468882391168e-16,"algebraic_connectivity","RND"
-1.87780894714994e-16,"algebraic_connectivity","RND"
-7.41523331785088e-16,"algebraic_connectivity","RND"
1.51533007745335e-15,"algebraic_connectivity","RND"
6.21448721758289e-16,"algebraic_connectivity","RND"
-1.26890201276235e-18,"algebraic_connectivity","RND"
0,"algebraic_connectivity","RND"
-1.27343145902427e-16,"algebraic_connectivity","RND"
5.16060370063225e-17,"algebraic_connectivity","RND"
-8.91892879949329e-17,"algebraic_connectivity","RND"
0,"algebraic_connectivity","RND"
-4.62608335672993e-16,"algebraic_connectivity","RND"
-5.36589297036137e-16,"algebraic_connectivity","RND"
2.49025039677717e-17,"algebraic_connectivity","RND"
-2.62121423409449e-16,"algebraic_connectivity","RND"
-3.48373375315706e-16,"algebraic_connectivity","RND"
1.8997084395663e-16,"algebraic_connectivity","RND"
2.3303654964759e-16,"algebraic_connectivity","RND"
3.24808251448523e-15,"algebraic_connectivity","RND"
-2.79835776784592e-16,"algebraic_connectivity","RND"
-1.4949243288375e-19,"algebraic_connectivity","RND"
4.66495073048882,"spect_rad_weighted","RND"
4.35511649408596,"spect_rad_weighted","RND"
4.77819006166938,"spect_rad_weighted","RND"
4.43608998213471,"spect_rad_weighted","RND"
4.32332628414456,"spect_rad_weighted","RND"
4.90753325359873,"spect_rad_weighted","RND"
4.4764079583594,"spect_rad_weighted","RND"
4.85808051938522,"spect_rad_weighted","RND"
4.50493063654699,"spect_rad_weighted","RND"
4.46307007788176,"spect_rad_weighted","RND"
4.4946624597043,"spect_rad_weighted","RND"
4.59383372682232,"spect_rad_weighted","RND"
4.33702557653775,"spect_rad_weighted","RND"
4.36330801251468,"spect_rad_weighted","RND"
4.36529206447353,"spect_rad_weighted","RND"
4.60886045598493,"spect_rad_weighted","RND"
4.14436186201159,"spect_rad_weighted","RND"
4.43132500694285,"spect_rad_weighted","RND"
4.49546668747246,"spect_rad_weighted","RND"
4.72336680782166,"spect_rad_weighted","RND"
4.52010567618698,"spect_rad_weighted","RND"
4.45967999556677,"spect_rad_weighted","RND"
4.55149679465916,"spect_rad_weighted","RND"
4.59554369009104,"spect_rad_weighted","RND"
4.36888715052195,"spect_rad_weighted","RND"
4.62951732300654,"spect_rad_weighted","RND"
4.37492614079893,"spect_rad_weighted","RND"
4.44533301510266,"spect_rad_weighted","RND"
4.88433649036803,"spect_rad_weighted","RND"
4.39967615597649,"spect_rad_weighted","RND"
